assembly_accession,sample_name
GCA_018503575.2,HG02818_pat
GCA_018506155.2,HG03098_pat
GCA_018503245.2,HG03486_pat
GCA_018503285.2,NA18906_pat
GCA_018504625.2,NA20129_pat
GCA_018504665.2,NA21309_pat
GCA_018506955.2,HG00733_pat
GCA_018504045.2,HG01243_pat
GCA_018503265.2,NA19240_pat
GCA_018506945.2,HG005_pat
GCA_044165215.1,HG00097_pat
GCA_044165645.1,HG00235_pat
GCA_044166805.1,HG00253_pat
GCA_044166515.1,HG00272_pat
GCA_044166575.1,HG00329_pat
GCA_044166765.1,HG00344_pat
GCA_044167235.1,HG00350_pat
GCA_044167135.1,HG01167_pat
GCA_044165925.1,HG03369_pat
GCA_044166285.1,HG03521_pat
GCA_044166095.1,HG03784_pat
GCA_044166395.1,NA18565_pat
GCA_044165125.1,NA19682_pat
GCA_044165085.1,NA19776_pat
GCA_044164705.1,NA19835_pat
GCA_044164695.1,NA19909_pat
GCA_044166585.1,NA20282_pat
GCA_044166545.1,NA20346_pat
GCA_044166435.1,NA20809_pat
GCA_044166535.1,NA20850_pat
GCA_044166315.1,NA21102_pat
GCA_044164725.1,NA21144_pat
GCA_018472715.2,HG00735_pat
GCA_043304525.1,HG02155_pat
GCA_018469945.2,HG02630_pat
GCA_043304645.1,HG03139_pat
GCA_043305115.1,HG03470_pat
GCA_018472835.2,HG03579_pat
GCA_043304975.1,NA20805_pat
GCA_041900245.1,HG00408_mat
GCA_041900265.1,HG00597_mat
GCA_041900275.1,HG01192_mat
GCA_041899995.1,HG01261_mat
GCA_041900105.1,HG02015_mat
GCA_041900015.1,HG02056_mat
GCA_041900385.1,HG02129_mat
GCA_041900135.1,HG02258_mat
GCA_041900115.1,HG03834_mat
GCA_045999905.1,HG01975_mat
GCA_046000055.1,HG02602_mat
GCA_045999925.1,HG04187_mat
GCA_045999895.1,NA18879_mat
GCA_045999885.1,NA20752_mat
GCA_018852585.2,HG02145_mat
GCA_042027095.1,HG00609_mat
GCA_042028155.1,HG00642_mat
GCA_042028935.1,HG00738_mat
GCA_042026525.1,HG01099_mat
GCA_042028895.1,HG01255_mat
GCA_042028165.1,HG01346_mat
GCA_042027645.1,HG01433_mat
GCA_042027145.1,HG01496_mat
GCA_042027665.1,HG01884_mat
GCA_042027065.1,HG01981_mat
GCA_042027655.1,HG01993_mat
GCA_042027105.1,HG02004_mat
GCA_042030185.1,HG02027_mat
GCA_042030175.1,HG02083_mat
GCA_042029645.1,HG02132_mat
GCA_042026465.1,HG02280_mat
GCA_042026455.1,HG02293_mat
GCA_042027635.1,HG02300_mat
GCA_042026475.1,HG02451_mat
GCA_042029905.1,HG02523_mat
GCA_042028975.1,HG02615_mat
GCA_042028065.1,HG02647_mat
GCA_042029495.1,HG02698_mat
GCA_042029535.1,HG03654_mat
GCA_042028875.1,HG03669_mat
GCA_042029545.1,HG03688_mat
GCA_042026535.1,HG03704_mat
GCA_042029485.1,HG03710_mat
GCA_042028025.1,HG03831_mat
GCA_042028145.1,HG03927_mat
GCA_042028945.1,HG04115_mat
GCA_042027765.1,HG04184_mat
GCA_042029385.1,HG04199_mat
GCA_046056425.1,HG02738_mat
GCA_018472605.2,HG00621_mat
GCA_018471095.2,HG00741_mat
GCA_018471345.2,HG01106_mat
GCA_018471085.2,HG01175_mat
GCA_018469405.2,HG01258_mat
GCA_018467155.2,HG01891_mat
GCA_018471545.2,HG01952_mat
GCA_018471535.2,HG02148_mat
GCA_018467015.2,HG02486_mat
GCA_018466985.2,HG02559_mat
GCA_018470445.2,HG02572_mat
GCA_018469875.2,HG02622_mat
GCA_018470455.2,HG02886_mat
GCA_018472855.2,HG03453_mat
GCA_018473295.2,HG03540_mat
GCA_042031945.1,HG00099_mat
GCA_042030705.1,HG00140_mat
GCA_042030605.1,HG00280_mat
GCA_042031775.1,HG00323_mat
GCA_042031805.1,HG02040_mat
GCA_042032115.1,HG02165_mat
GCA_042030225.1,HG02273_mat
GCA_042030255.1,HG02922_mat
GCA_042031845.1,HG02965_mat
GCA_042030695.1,HG02976_mat
GCA_042031485.1,HG03130_mat
GCA_042030635.1,HG03195_mat
GCA_042031355.1,HG03209_mat
GCA_042030975.1,NA18522_mat
GCA_042031405.1,NA18747_mat
GCA_042031415.1,NA18971_mat
GCA_042031955.1,NA18983_mat
GCA_042030595.1,NA19043_mat
GCA_042032335.1,NA20905_mat
GCA_042034145.1,HG01530_mat
GCA_042034175.1,HG01784_mat
GCA_042034155.1,HG02391_mat
GCA_042034105.1,HG03471_mat
GCA_042034195.1,HG03742_mat
GCA_042034465.1,NA18570_mat
GCA_042034505.1,NA19087_mat
GCA_042034525.1,NA19185_mat
GCA_042034585.1,NA19338_mat
GCA_042034575.1,NA19391_mat
GCA_042035175.1,NA19468_mat
GCA_018471515.2,HG00438_mat
GCA_042036935.1,HG00558_mat
GCA_042037155.1,HG00639_mat
GCA_042037715.1,HG00658_mat
GCA_018472565.2,HG00673_mat
GCA_018472685.2,HG01071_mat
GCA_042037735.1,HG01074_mat
GCA_042037225.1,HG01081_mat
GCA_018469665.2,HG01123_mat
GCA_042037355.1,HG01150_mat
GCA_042038095.1,HG01252_mat
GCA_018469865.2,HG01358_mat
GCA_018469685.2,HG01361_mat
GCA_018472695.2,HG01928_mat
GCA_042038345.1,HG01934_mat
GCA_042037435.1,HG01940_mat
GCA_042037445.1,HG01960_mat
GCA_042037555.1,HG01969_mat
GCA_018472865.2,HG01978_pat
GCA_042036105.1,HG02071_mat
GCA_042036205.1,HG02074_mat
GCA_042036245.1,HG02135_mat
GCA_018466845.2,HG02257_pat
GCA_042038585.1,HG02668_mat
GCA_018469935.2,HG02717_mat
GCA_042036255.1,HG02809_mat
GCA_042038595.1,HG03017_mat
GCA_042037625.1,HG03041_mat
GCA_042037705.1,HG03239_mat
GCA_018469425.2,HG03516_pat
GCA_042036285.1,HG03804_mat
GCA_042036275.1,HG03942_mat
GCA_042036305.1,HG04157_mat
GCA_042036395.1,HG04160_mat
GCA_042036425.1,HG04204_mat
GCA_042036915.1,HG04228_mat
GCA_046116005.1,HG00706_mat
GCA_046116015.1,HG03816_mat
GCA_042076545.1,HG00423_mat
GCA_042076565.1,HG00544_mat
GCA_042076535.1,HG01943_mat
GCA_042076555.1,HG02735_mat
GCA_042076465.1,HG03225_mat
GCA_046056495.1,NA19159_mat
GCA_042077875.1,HG00126_mat
GCA_042077885.1,HG00128_mat
GCA_042077855.1,HG00133_mat
GCA_042078085.1,HG00146_mat
GCA_042077745.1,HG00232_mat
GCA_042077735.1,HG00290_mat
GCA_042077765.1,HG00320_mat
GCA_042076825.1,HG00321_mat
GCA_042076735.1,HG01786_mat
GCA_042077755.1,HG02178_mat
GCA_042076715.1,HG02583_mat
GCA_042077465.1,HG03270_mat
GCA_042077425.1,HG03583_mat
GCA_042076685.1,HG03874_mat
GCA_042077345.1,NA18505_mat
GCA_042077155.1,NA18508_mat
GCA_042077335.1,NA18608_mat
GCA_042077305.1,NA18620_mat
GCA_042077325.1,NA18952_mat
GCA_042077285.1,NA18974_mat
GCA_042077165.1,NA18976_mat
GCA_042077135.1,NA19036_mat
GCA_042076705.1,NA19443_mat
GCA_042076885.1,NA19700_mat
GCA_042077145.1,NA20870_mat
GCA_042076875.1,NA21093_mat
GCA_042076865.1,NA21106_mat
GCA_042077185.1,NA21110_mat
GCA_046043145.1,HG02392_mat
GCA_045524175.1,HG02514_mat
GCA_045524615.1,HG02841_mat
GCA_045524165.1,HG02984_mat
GCA_045524515.1,HG03050_mat
GCA_045524135.1,NA20799_mat
GCA_018504365.2,HG01109_mat
GCA_018506125.2,HG02055_mat
GCA_018504085.2,HG02080_mat
GCA_018505825.2,HG02109_mat
GCA_018504065.2,HG02723_mat
GCA_018503585.2,HG02818_mat
GCA_018506165.2,HG03098_mat
GCA_018503525.2,HG03486_mat
GCA_018503255.2,NA18906_mat
GCA_018504635.2,NA20129_mat
GCA_018504655.2,NA21309_mat
GCA_018506975.2,HG00733_mat
GCA_018504375.2,HG01243_mat
GCA_018503275.2,NA19240_mat
GCA_018506965.2,HG005_mat
GCA_044164745.1,HG00097_mat
GCA_044165735.1,HG00235_mat
GCA_044166835.1,HG00253_mat
GCA_044166665.1,HG00272_mat
GCA_044166465.1,HG00329_mat
GCA_044166845.1,HG00344_mat
GCA_044167285.1,HG00350_mat
GCA_044166785.1,HG01167_mat
GCA_044166625.1,HG03369_mat
GCA_044166645.1,HG03521_mat
GCA_044165595.1,HG03784_mat
GCA_044165725.1,NA18565_mat
GCA_044164665.1,NA19682_mat
GCA_044165205.1,NA19776_mat
GCA_044165335.1,NA19835_mat
GCA_044165395.1,NA19909_mat
GCA_044166065.1,NA20282_mat
GCA_044166135.1,NA20346_mat
GCA_044166615.1,NA20809_mat
GCA_044165565.1,NA20850_mat
GCA_044166635.1,NA21102_mat
GCA_044165025.1,NA21144_mat
GCA_018472765.3,HG00735_mat
GCA_043304655.1,HG02155_mat
GCA_018469955.2,HG02630_mat
GCA_043304535.1,HG03139_mat
GCA_043304965.1,HG03470_mat
GCA_018472825.2,HG03579_mat
GCA_043304515.1,NA20805_mat
GCA_046332455.1,NA18940_pat
GCA_046332485.1,NA18943_pat
GCA_046332435.1,NA18944_pat
GCA_046332375.1,NA18945_pat
GCA_046332325.1,NA18948_pat
GCA_046332285.1,NA18959_pat
GCA_046332185.1,NA18960_pat
GCA_046332195.1,NA18967_pat
GCA_046332135.1,NA18970_pat
GCA_046332025.1,NA18982_pat
GCA_046332495.1,NA18940_mat
GCA_046332475.1,NA18943_mat
GCA_046332355.1,NA18944_mat
GCA_046332365.1,NA18945_mat
GCA_046332305.1,NA18948_mat
GCA_046332235.1,NA18959_mat
GCA_046332225.1,NA18960_mat
GCA_046332145.1,NA18967_mat
GCA_046332065.1,NA18970_mat
GCA_046332015.1,NA18982_mat
GCA_046332035.1,HG06807_pat
GCA_046332005.1,HG06807_mat
GCA_018852605.3,HG002_pat
GCA_018852615.3,HG002_mat
GCA_046629205.1,NA20503_pat
GCA_046629215.1,NA20762_pat
GCA_046629225.1,NA20806_mat
GCA_046629235.1,NA20806_pat
GCA_046629265.1,NA20827_mat
GCA_046629565.1,NA20503_mat
GCA_046629575.1,NA20762_mat
GCA_046629585.1,NA20827_pat
