2025-10-01 03:36:07   63232837 HG02004_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:50   63183397 HG02027_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:36   61337892 HG02027_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:56   63287980 HG02083_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:27   61796802 HG02083_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:06   63097558 HG02132_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:10   61505709 HG02132_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:58   63673333 HG02280_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:58   63671152 HG02280_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:14   63231151 HG02293_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:06   63494112 HG02293_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:37   63326962 HG02300_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:21   63417136 HG02300_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:55   63033218 HG02451_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:04   63196185 HG02451_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:07   63045714 HG02523_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:23   63258294 HG02523_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:01   63140179 HG02615_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:44   63108984 HG02615_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:44   63483677 HG02647_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:03   61677723 HG02647_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:11   63415711 HG02698_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:56   61567246 HG02698_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:03   63706351 HG03654_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:06   61818896 HG03654_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:47   63099864 HG03669_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:39   63360051 HG03669_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:22   63392860 HG03688_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:21   61409584 HG03688_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:31   63525667 HG03704_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:54   63414042 HG03704_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:19   63375501 HG03710_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:02   61805207 HG03710_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:52   63486578 HG03831_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:57   63578151 HG03831_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:56   63532482 HG03927_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:47   63435891 HG03927_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:09   63402647 HG04115_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:14   61740721 HG04115_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:43   61758906 HG04184_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:54   61779075 HG04184_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:24   63378943 HG04199_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:57   61672428 HG04199_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:56   63471555 HG02738_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:05   61786449 HG02738_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:40   63207146 HG00621_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:24   61537972 HG00621_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:22   63157465 HG00741_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:05   62988836 HG00741_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:36:13   63160059 HG01106_mat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
2025-10-01 03:37:00   61635483 HG01106_pat_hprc_r2_v1.0.1_cat_v1.1.gff3.gz
